lambda      alk
5.00000e-01 1.20794e+01
5.00611e-01 1.20618e+01
5.01222e-01 1.20441e+01
5.01834e-01 1.20265e+01
5.02447e-01 1.20089e+01
5.03061e-01 1.19913e+01
5.03676e-01 1.19737e+01
5.04291e-01 1.19560e+01
5.04907e-01 1.19384e+01
5.05524e-01 1.19208e+01
5.06141e-01 1.19032e+01
5.06759e-01 1.18856e+01
5.07378e-01 1.18680e+01
5.07998e-01 1.18504e+01
5.08619e-01 1.18328e+01
5.09240e-01 1.18152e+01
5.09862e-01 1.17977e+01
5.10485e-01 1.17801e+01
5.11108e-01 1.17625e+01
5.11732e-01 1.17449e+01
5.12358e-01 1.17274e+01
5.12983e-01 1.17098e+01
5.13610e-01 1.16922e+01
5.14237e-01 1.16747e+01
5.14865e-01 1.16571e+01
5.15494e-01 1.16396e+01
5.16124e-01 1.16220e+01
5.16754e-01 1.16045e+01
5.17386e-01 1.15870e+01
5.18018e-01 1.15695e+01
5.18650e-01 1.15519e+01
5.19284e-01 1.15344e+01
5.19918e-01 1.15169e+01
5.20553e-01 1.14994e+01
5.21189e-01 1.14819e+01
5.21826e-01 1.14644e+01
5.22463e-01 1.14469e+01
5.23101e-01 1.14294e+01
5.23740e-01 1.14119e+01
5.24380e-01 1.13945e+01
5.25020e-01 1.13770e+01
5.25662e-01 1.13595e+01
5.26304e-01 1.13421e+01
5.26947e-01 1.13246e+01
5.27590e-01 1.13072e+01
5.28235e-01 1.12897e+01
5.28880e-01 1.12723e+01
5.29526e-01 1.12549e+01
5.30173e-01 1.12374e+01
5.30820e-01 1.12200e+01
5.31469e-01 1.12026e+01
5.32118e-01 1.11852e+01
5.32768e-01 1.11678e+01
5.33419e-01 1.11504e+01
5.34070e-01 1.11330e+01
5.34723e-01 1.11156e+01
5.35376e-01 1.10983e+01
5.36030e-01 1.10809e+01
5.36685e-01 1.10635e+01
5.37340e-01 1.10462e+01
5.37996e-01 1.10289e+01
5.38654e-01 1.10115e+01
5.39311e-01 1.09942e+01
